Fuzzing (with MutationEngine),0d 0h 3m 34s,16:52:02 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,44.02,68.06,2.96,5.56,0,,,,,,,,0,4.49,79.89,28.62,0,,,,0,140.32,2.13,48.92,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 34s,16:52:02 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,40.32,67.12,2.96,5.48,0,,,,,,,,0,4.49,81.45,28.62,0,,,,0,140.32,2.13,48.92,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 3m 34s,16:52:02 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,41.24,67.57,2.96,5.41,0,,,,,,,,0,4.49,83.37,28.62,0,,,,0,140.32,2.13,48.91,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 34s,16:52:02 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,41.8,68.0,2.96,5.33,0,,,,,,,,0,4.49,84.83,28.62,0,,,,0,140.32,2.13,48.9,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 40s,16:52:08 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.17,68.42,2.96,5.26,0,,,,,,,,0,4.53,84.06,28.37,0,,,,0,140.32,2.12,48.9,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 40s,16:52:08 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.43,68.83,2.96,5.19,0,,,,,,,,0,4.53,83.64,28.37,0,,,,0,140.32,2.12,48.89,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 40s,16:52:08 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.63,69.23,2.96,5.13,0,,,,,,,,0,4.53,84.1,28.37,0,,,,0,140.32,2.13,48.88,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 40s,16:52:08 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.79,69.62,2.96,5.06,0,,,,,,,,0,4.53,84.7,28.37,0,,,,0,140.32,2.13,48.87,0,true,false,false,false
Fuzzing (with MutationEngine),0d 0h 3m 41s,16:52:09 - 12.05.2025,0,0,0d 0h 0m 1s,0,0,,41.8,68.75,2.96,5.0,0,,,,,,,,0,4.53,85.17,28.37,0,,,,0,140.32,2.13,48.87,0,false,false,true,false
Fuzzing (with MutationEngine),0d 0h 4m 9s,16:52:37 - 12.05.2025,0,0,0d 0h 0m 0s,0,0,,42.47,69.85,3.0,3.68,0,,,,,,,,0,4.95,80.56,28.78,0,,,,0,175.92,2.18,49.8,0,true,false,false,false
